Brand,Age,kmDriven,Transmission,Owner,FuelType
Maruti Suzuki,8,44000.0,Manual,second,petrol
Maruti Suzuki,8,78000.0,Manual,second,petrol
Audi,8,78522.0,Automatic,first,diesel
Ford,6,64999.0,Automatic,first,diesel
Maruti Suzuki,7,300000.0,Manual,second,diesel
Tata,9,121580.0,Manual,second,diesel
Maruti Suzuki,7,100000.0,Manual,second,petrol
Honda,4,55000.0,Manual,first,petrol
Ford,7,95000.0,Automatic,first,diesel
Maruti Suzuki,6,66000.0,Automatic,second,hybrid
Mahindra,7,61000.0,Manual,first,diesel
Maruti Suzuki,5,84303.0,Automatic,second,petrol
Maruti Suzuki,11,102000.0,Manual,second,petrol
Maruti Suzuki,1,60000.0,Manual,first,hybrid
Maruti Suzuki,5,68000.0,Manual,second,hybrid/cng
Toyota,14,80000.0,Manual,second,hybrid/cng
Maruti Suzuki,16,120000.0,Manual,second,diesel
Mercedes-Benz,1,15000.0,Automatic,first,diesel
Hyundai,15,108000.0,Manual,second,petrol
Maruti Suzuki,8,55000.0,Automatic,second,hybrid
Volkswagen,7,78000.0,Automatic,second,petrol
Maruti Suzuki,12,137000.0,Automatic,second,hybrid/cng
Honda,10,92000.0,Manual,first,diesel
Ford,8,75000.0,Automatic,second,diesel
Maruti Suzuki,7,300000.0,Manual,second,petrol
Toyota,2,30000.0,Automatic,first,petrol
BMW,7,38000.0,Automatic,first,diesel
Maruti Suzuki,4,82000.0,Manual,first,petrol
Honda,8,56171.0,Manual,second,petrol
Maruti Suzuki,6,49000.0,Manual,second,petrol
Hyundai,5,58000.0,Automatic,second,hybrid
Maruti Suzuki,2,85000.0,Automatic,second,hybrid/cng
Mahindra,4,79000.0,Manual,second,diesel
Hyundai,10,78980.0,Manual,second,diesel
Mercedes-Benz,6,55000.0,Automatic,first,petrol
Maruti Suzuki,7,60000.0,Automatic,second,petrol
Renault,6,300000.0,Manual,first,petrol
Honda,14,75000.0,Automatic,second,hybrid/cng
Maruti Suzuki,9,204600.0,Automatic,second,petrol
Hyundai,1,44000.0,Automatic,first,petrol
Toyota,7,69000.0,Automatic,second,diesel
Maruti Suzuki,6,105000.0,Automatic,first,diesel
Maruti Suzuki,3,73300.0,Manual,first,hybrid/cng
Maruti Suzuki,5,65000.0,Manual,first,hybrid
Honda,10,65000.0,Manual,second,petrol
Hyundai,11,72000.0,Manual,second,petrol
Honda,13,82000.0,Automatic,second,petrol
Hyundai,3,30941.0,Manual,second,hybrid/cng
Toyota,10,90000.0,Automatic,second,hybrid
Maruti Suzuki,13,112000.0,Automatic,second,hybrid/cng
Hyundai,8,74000.0,Automatic,second,hybrid/cng
Maruti Suzuki,14,29000.0,Manual,first,petrol
Maruti Suzuki,10,32117.0,Automatic,first,petrol
BMW,3,20000.0,Automatic,first,petrol
Ford,6,54760.0,Automatic,first,petrol
Nissan,3,62000.0,Manual,first,petrol
Honda,13,300000.0,Automatic,second,hybrid/cng
Renault,12,88300.0,Manual,first,diesel
Renault,8,75000.0,Automatic,second,diesel
Maruti Suzuki,8,14123.0,Automatic,second,hybrid/cng
Toyota,5,28000.0,Manual,second,diesel
Honda,4,20758.0,Automatic,first,petrol
Hyundai,11,61000.0,Manual,first,petrol
Hyundai,16,175000.0,Manual,second,diesel
Maruti Suzuki,6,80000.0,Automatic,first,hybrid/cng
Hyundai,3,57555.0,Manual,first,petrol
Maruti Suzuki,6,28200.0,Manual,first,petrol
Skoda,11,107316.0,Manual,first,diesel
Toyota,12,125000.0,Manual,second,diesel
Maruti Suzuki,4,19000.0,Automatic,second,petrol
Toyota,11,110000.0,Automatic,second,diesel
Maruti Suzuki,2,60000.0,Manual,second,petrol
Hyundai,6,48.0,Manual,second,hybrid
Maruti Suzuki,2,14000.0,Automatic,first,hybrid
Hyundai,8,50000.0,Automatic,first,diesel
Mercedes-Benz,10,94500.0,Automatic,second,diesel
Hyundai,4,40000.0,Manual,first,petrol
Maruti Suzuki,7,75000.0,Automatic,second,hybrid
Renault,8,77000.0,Automatic,second,hybrid
Volkswagen,10,82864.0,Manual,second,diesel
Tata,2,53000.0,Automatic,first,diesel
Honda,8,93000.0,Automatic,second,hybrid/cng
Tata,6,60000.0,Automatic,second,hybrid
Maruti Suzuki,8,50000.0,Manual,first,diesel
Maruti Suzuki,13,42000.0,Manual,second,petrol
Toyota,5,105000.0,Automatic,second,diesel
Maruti Suzuki,5,140200.0,Automatic,first,hybrid
Jeep,7,45000.0,Manual,first,diesel
BMW,6,37000.0,Automatic,first,diesel
Hyundai,13,131000.0,Manual,second,diesel
Lexus,5,57000.0,Automatic,second,petrol
Toyota,7,68000.0,Automatic,second,diesel
Kia,3,50000.0,Automatic,first,diesel
Maruti Suzuki,4,120000.0,Automatic,second,hybrid
Honda,13,75000.0,Manual,first,hybrid
Hyundai,9,72000.0,Manual,second,hybrid
Ford,7,152000.0,Manual,second,diesel
Ford,8,52000.0,Manual,second,diesel
Skoda,4,31008.0,Automatic,second,petrol
Opel,20,70000.0,Manual,second,petrol
Hyundai,13,69000.0,Manual,second,petrol
Audi,6,99000.0,Automatic,first,diesel
Tata,4,58000.0,Automatic,first,hybrid
Maruti Suzuki,9,56560.0,Manual,first,diesel
Maruti Suzuki,24,90000.0,Manual,second,petrol
Maruti Suzuki,2,85024.0,Automatic,first,hybrid/cng
Honda,15,96000.0,Automatic,second,hybrid
Honda,9,300000.0,Automatic,second,hybrid/cng
Jeep,5,72000.0,Automatic,second,petrol
Hyundai,7,118775.0,Manual,second,diesel
Mahindra,2,22000.0,Automatic,second,petrol
Ford,7,80000.0,Automatic,first,diesel
Honda,9,300000.0,Automatic,second,petrol
Maruti Suzuki,14,130000.0,Manual,second,diesel
Honda,9,56000.0,Automatic,first,hybrid/cng
Maruti Suzuki,6,70000.0,Manual,second,hybrid
Honda,10,99920.0,Automatic,second,petrol
Maruti Suzuki,9,52000.0,Automatic,second,hybrid/cng
Maruti Suzuki,5,56500.0,Automatic,first,petrol
Maruti Suzuki,8,77000.0,Manual,second,hybrid
Maruti Suzuki,3,52000.0,Automatic,second,hybrid
Mercedes-Benz,3,280000.0,Automatic,first,diesel
Maruti Suzuki,14,300000.0,Manual,first,hybrid
Mahindra,5,72000.0,Manual,first,diesel
Hyundai,6,88652.0,Manual,second,diesel
Maruti Suzuki,12,67000.0,Manual,second,petrol
Maruti Suzuki,3,42000.0,Automatic,first,hybrid/cng
Hyundai,9,53000.0,Automatic,first,hybrid/cng
Hyundai,8,73000.0,Manual,first,petrol
Honda,11,107000.0,Automatic,second,petrol
Jeep,5,52000.0,Automatic,second,petrol
Maruti Suzuki,1,17000.0,Manual,first,petrol
Toyota,8,72000.0,Automatic,first,diesel
Mahindra,7,55000.0,Manual,first,diesel
Maruti Suzuki,5,300000.0,Automatic,second,diesel
Maruti Suzuki,2,10000.0,Manual,first,petrol
Maruti Suzuki,4,26600.0,Automatic,first,petrol
Nissan,7,95000.0,Manual,second,petrol
Toyota,3,38000.0,Automatic,second,diesel
Honda,17,87210.0,Automatic,second,petrol
Audi,11,95000.0,Automatic,second,diesel
Hyundai,13,75000.0,Manual,second,hybrid/cng
Renault,11,104000.0,Manual,first,diesel
Mahindra,2,29000.0,Automatic,first,diesel
Maruti Suzuki,4,34000.0,Manual,second,petrol
Ford,4,92000.0,Manual,second,diesel
Volkswagen,9,124000.0,Automatic,second,petrol
Toyota,11,82000.0,Automatic,second,hybrid/cng
Maruti Suzuki,6,76000.0,Manual,first,petrol
Skoda,13,95000.0,Manual,first,petrol
Mahindra,2,36000.0,Automatic,second,diesel
Toyota,3,30000.0,Automatic,first,hybrid
Honda,9,48000.0,Manual,second,petrol
Ford,14,93000.0,Manual,second,diesel
Toyota,1,7900.0,Automatic,first,diesel
Hyundai,6,79100.0,Manual,second,hybrid/cng
Lexus,6,132000.0,Automatic,first,hybrid/cng
Tata,12,125000.0,Manual,first,diesel
Audi,9,75000.0,Automatic,second,diesel
Renault,3,70000.0,Manual,first,petrol
Hyundai,7,90001.0,Manual,first,diesel
Hyundai,14,100000.0,Manual,second,petrol
Toyota,9,150000.0,Automatic,second,diesel
Maruti Suzuki,17,75000.0,Manual,second,petrol
Maruti Suzuki,9,62000.0,Automatic,second,hybrid/cng
Force,2,21000.0,Manual,first,diesel
Maruti Suzuki,6,57000.0,Manual,second,hybrid/cng
Ford,13,135000.0,Manual,second,diesel
Mahindra,9,56900.0,Automatic,second,diesel
Renault,10,176000.0,Manual,second,diesel
Tata,4,73000.0,Manual,first,diesel
Hyundai,13,47000.0,Manual,second,petrol
Hyundai,9,35000.0,Manual,first,diesel
Maruti Suzuki,7,82000.0,Manual,first,diesel
Maruti Suzuki,12,120000.0,Automatic,second,hybrid/cng
Ford,7,61101.0,Manual,second,petrol
Maruti Suzuki,4,59000.0,Automatic,first,petrol
Hyundai,9,114000.0,Manual,first,diesel
Skoda,6,92000.0,Automatic,second,diesel
Mahindra,11,75000.0,Manual,first,diesel
Honda,9,93000.0,Manual,first,diesel
Maruti Suzuki,14,100000.0,Automatic,first,hybrid/cng
Skoda,2,4950.0,Automatic,first,petrol
Mahindra,7,66000.0,Automatic,second,hybrid/cng
Maruti Suzuki,11,808.0,Automatic,second,hybrid/cng
Toyota,9,93200.0,Manual,first,diesel
Honda,7,51000.0,Automatic,second,hybrid/cng
Toyota,13,65321.0,Manual,second,diesel
Maruti Suzuki,10,77000.0,Manual,second,petrol
Hyundai,10,63000.0,Manual,second,petrol
Hyundai,7,82000.0,Automatic,first,hybrid
Kia,3,300000.0,Automatic,second,petrol
Maruti Suzuki,18,90000.0,Manual,second,petrol
Mahindra,3,45000.0,Manual,second,petrol
Maruti Suzuki,5,300000.0,Manual,second,petrol
Maruti Suzuki,9,115000.0,Automatic,first,hybrid
Hyundai,11,64000.0,Automatic,second,petrol
Toyota,9,105000.0,Automatic,first,diesel
Hyundai,5,39000.0,Automatic,first,petrol
