Brand,Age,kmDriven,Transmission,Owner,FuelType
Hyundai,10,34000.0,Manual,first,petrol
Honda,14,75000.0,Manual,second,hybrid/cng
Maruti Suzuki,3,66000.0,Manual,second,hybrid/cng
Hyundai,4,56249.0,Manual,second,petrol
Honda,13,100000.0,Automatic,second,petrol
Maruti Suzuki,12,78000.0,Manual,second,hybrid
Maruti Suzuki,3,41000.0,Automatic,first,hybrid/cng
Land Rover,6,39000.0,Automatic,second,diesel
Maruti Suzuki,4,55000.0,Automatic,first,hybrid
Maruti Suzuki,13,80000.0,Automatic,second,petrol
Maruti Suzuki,11,87235.0,Manual,second,hybrid
Maruti Suzuki,2,45000.0,Manual,first,hybrid/cng
Maruti Suzuki,4,24000.0,Manual,first,petrol
Maruti Suzuki,18,100000.0,Manual,second,petrol
Hyundai,5,300000.0,Manual,first,hybrid/cng
Audi,10,90000.0,Automatic,second,diesel
Maruti Suzuki,8,54694.0,Manual,second,petrol
Nissan,2,30000.0,Automatic,second,petrol
Skoda,2,14000.0,Automatic,first,petrol
Hyundai,7,18000.0,Automatic,first,petrol
Nissan,2,7500.0,Manual,second,petrol
Tata,8,82000.0,Manual,first,petrol
Maruti Suzuki,4,86550.0,Manual,first,hybrid
Tata,1,26500.0,Automatic,second,petrol
Ford,11,80000.0,Manual,second,diesel
Maruti Suzuki,15,83000.0,Manual,second,hybrid/cng
Renault,8,61600.0,Automatic,second,petrol
Hyundai,19,50000.0,Automatic,second,hybrid
Renault,12,50000.0,Manual,second,hybrid
Toyota,2,45000.0,Automatic,first,diesel
Hyundai,6,48000.0,Manual,first,hybrid/cng
BMW,9,89000.0,Automatic,second,diesel
Audi,6,300000.0,Automatic,first,diesel
Honda,7,77000.0,Automatic,second,petrol
Hyundai,7,26000.0,Manual,first,petrol
Mahindra,1,16900.0,Manual,first,diesel
Tata,2,4600.0,Automatic,second,petrol
Honda,12,60000.0,Automatic,first,hybrid
Maruti Suzuki,5,37710.0,Automatic,first,petrol
Maruti Suzuki,11,75667.0,Manual,first,hybrid/cng
Ford,7,85000.0,Manual,second,diesel
Toyota,6,125000.0,Automatic,second,petrol
Ford,8,37000.0,Automatic,first,petrol
Maruti Suzuki,5,63000.0,Manual,first,diesel
Hyundai,18,19.0,Manual,second,petrol
Maruti Suzuki,4,300000.0,Manual,first,petrol
Toyota,3,114000.0,Manual,first,diesel
Skoda,5,65000.0,Manual,second,petrol
Maruti Suzuki,10,78000.0,Manual,second,diesel
Hyundai,11,82000.0,Manual,second,hybrid
Hyundai,5,25619.0,Automatic,second,petrol
Maruti Suzuki,7,128876.0,Automatic,second,diesel
Hyundai,5,60000.0,Manual,first,diesel
Honda,9,40000.0,Manual,second,hybrid/cng
Hyundai,8,86000.0,Manual,second,petrol
Toyota,3,10000.0,Automatic,first,hybrid
Honda,14,126000.0,Manual,second,petrol
Nissan,11,96000.0,Manual,second,hybrid
Maruti Suzuki,1,240000.0,Manual,first,hybrid/cng
Renault,8,38000.0,Automatic,second,petrol
Mercedes-Benz,7,60000.0,Automatic,second,diesel
Hyundai,3,38000.0,Automatic,second,petrol
Maruti Suzuki,6,22000.0,Automatic,second,petrol
Tata,1,30000.0,Manual,first,hybrid
Maruti Suzuki,1,15000.0,Manual,first,petrol
Hyundai,7,27000.0,Manual,second,petrol
Toyota,14,140000.0,Manual,second,diesel
Hyundai,7,100000.0,Manual,second,diesel
Maruti Suzuki,8,63100.0,Automatic,second,petrol
Maruti Suzuki,1,19000.0,Manual,first,petrol
Maruti Suzuki,5,57000.0,Automatic,second,petrol
Maruti Suzuki,1,28000.0,Manual,first,petrol
Renault,4,55000.0,Automatic,second,hybrid/cng
Tata,7,111677.0,Automatic,second,diesel
Maruti Suzuki,16,87913.0,Manual,second,petrol
Maruti Suzuki,10,23000.0,Manual,second,petrol
Hyundai,13,75000.0,Manual,second,petrol
Maruti Suzuki,8,62000.0,Automatic,second,hybrid
Honda,14,58000.0,Automatic,second,hybrid/cng
Nissan,7,80000.0,Automatic,second,diesel
Maruti Suzuki,13,77500.0,Manual,second,petrol
Kia,1,8100.0,Automatic,first,petrol
Renault,2,60000.0,Manual,first,petrol
Skoda,6,69999.0,Manual,second,diesel
Hyundai,12,300000.0,Manual,second,petrol
Maruti Suzuki,5,33000.0,Manual,first,hybrid/cng
Hyundai,2,80000.0,Automatic,first,hybrid/cng
Mini,12,28000.0,Automatic,second,petrol
Maruti Suzuki,5,300000.0,Manual,first,hybrid/cng
Hyundai,10,104000.0,Manual,second,diesel
Mercedes-Benz,11,68000.0,Automatic,second,petrol
Maruti Suzuki,7,53402.0,Manual,second,petrol
Maruti Suzuki,11,89000.0,Manual,second,diesel
Toyota,5,160000.0,Automatic,first,hybrid/cng
Maruti Suzuki,3,36499.0,Manual,first,petrol
Maruti Suzuki,2,18000.0,Manual,first,hybrid
Maruti Suzuki,6,77500.0,Automatic,first,hybrid
Tata,5,53101.0,Automatic,first,petrol
Mahindra,9,99774.0,Manual,second,diesel
Toyota,15,141000.0,Manual,second,diesel
Toyota,23,136000.0,Manual,second,diesel
Volkswagen,7,43000.0,Automatic,first,petrol
Maruti Suzuki,10,70000.0,Manual,first,petrol
Hyundai,11,80000.0,Manual,second,petrol
Renault,6,48000.0,Manual,first,petrol
Maruti Suzuki,2,66000.0,Manual,second,hybrid/cng
Maruti Suzuki,7,55000.0,Manual,first,petrol
Tata,7,20000.0,Automatic,second,hybrid
Hyundai,10,62500.0,Manual,first,petrol
Land Rover,8,90000.0,Automatic,second,diesel
BMW,4,76500.0,Automatic,first,diesel
Honda,7,45730.0,Automatic,second,hybrid/cng
Maruti Suzuki,14,20000.0,Manual,second,hybrid
Toyota,8,120000.0,Automatic,second,diesel
Hyundai,5,48000.0,Manual,first,petrol
Maruti Suzuki,5,86739.0,Manual,first,diesel
Maruti Suzuki,13,130000.0,Automatic,second,hybrid
Mahindra,28,50000.0,Manual,second,diesel
Mercedes-Benz,9,300000.0,Automatic,second,petrol
Honda,9,129000.0,Manual,second,diesel
Maruti Suzuki,5,246000.0,Automatic,first,hybrid
Jaguar,8,68000.0,Automatic,first,diesel
Nissan,6,78000.0,Manual,second,diesel
Toyota,3,300000.0,Automatic,first,petrol
Hyundai,9,72000.0,Automatic,first,diesel
Ford,8,113000.0,Automatic,second,petrol
Nissan,12,32000.0,Automatic,second,hybrid/cng
Volkswagen,8,80000.0,Automatic,second,petrol
Chevrolet,14,270464.0,Manual,first,petrol
Maruti Suzuki,10,108000.0,Manual,second,petrol
Toyota,10,155000.0,Automatic,second,hybrid/cng
Hyundai,3,90000.0,Automatic,first,diesel
Honda,12,55000.0,Automatic,second,petrol
Renault,5,160000.0,Automatic,first,petrol
Maruti Suzuki,3,80000.0,Manual,second,hybrid
Maruti Suzuki,14,96000.0,Manual,second,hybrid/cng
Maruti Suzuki,6,78000.0,Manual,first,petrol
Audi,9,90000.0,Automatic,first,diesel
MG,4,81600.0,Automatic,second,petrol
Mahindra,5,50000.0,Manual,second,diesel
Mercedes-Benz,10,80000.0,Automatic,second,diesel
Mahindra,6,137000.0,Automatic,first,diesel
Maruti Suzuki,3,82100.0,Manual,first,hybrid/cng
Nissan,11,56850.0,Automatic,second,hybrid/cng
Toyota,10,90000.0,Automatic,first,diesel
Maruti Suzuki,9,150000.0,Automatic,second,petrol
Honda,12,60000.0,Automatic,second,hybrid
Hyundai,9,52000.0,Automatic,first,petrol
Mahindra,12,220000.0,Manual,second,diesel
Hyundai,7,72431.0,Automatic,second,diesel
Mercedes-Benz,10,78000.0,Automatic,second,petrol
Toyota,5,51234.0,Manual,first,diesel
Tata,7,90000.0,Manual,second,diesel
Volkswagen,2,29800.0,Automatic,second,petrol
Audi,9,64000.0,Automatic,first,diesel
Hyundai,14,64000.0,Manual,second,petrol
Honda,3,50000.0,Manual,second,diesel
Maruti Suzuki,7,84000.0,Manual,first,diesel
Mercedes-Benz,7,42000.0,Automatic,second,petrol
Mahindra,6,69863.0,Manual,first,diesel
Toyota,16,122000.0,Manual,first,diesel
Maruti Suzuki,1,20000.0,Manual,second,hybrid/cng
Maruti Suzuki,7,130000.0,Manual,second,hybrid
Maruti Suzuki,13,72119.0,Manual,second,petrol
Maruti Suzuki,8,145000.0,Automatic,second,diesel
Maruti Suzuki,8,49000.0,Automatic,first,petrol
Maruti Suzuki,10,120000.0,Automatic,second,diesel
Audi,11,140000.0,Automatic,second,diesel
Honda,2,16000.0,Automatic,first,petrol
Audi,12,150000.0,Manual,first,diesel
Renault,6,75000.0,Manual,second,hybrid/cng
Skoda,7,48000.0,Automatic,first,petrol
Audi,9,75000.0,Automatic,first,diesel
Maruti Suzuki,6,104000.0,Manual,first,hybrid/cng
Maruti Suzuki,5,91000.0,Manual,second,hybrid/cng
Honda,12,68000.0,Manual,first,petrol
Toyota,4,51000.0,Manual,first,diesel
Maruti Suzuki,9,75000.0,Manual,second,hybrid
Tata,2,8000.0,Automatic,first,petrol
Honda,12,71000.0,Manual,first,hybrid/cng
Maruti Suzuki,4,92000.0,Automatic,first,hybrid
Maruti Suzuki,6,32393.0,Manual,first,hybrid
Mahindra,2,44000.0,Manual,first,diesel
Toyota,3,83000.0,Automatic,first,diesel
Maruti Suzuki,4,59302.0,Manual,first,hybrid
Datsun,10,71407.0,Manual,second,petrol
Maruti Suzuki,1,5280.0,Manual,second,petrol
Hyundai,6,63000.0,Manual,second,diesel
MG,3,12110.0,Automatic,first,petrol
Chevrolet,7,70000.0,Manual,second,petrol
Hyundai,10,86000.0,Manual,second,hybrid
Maruti Suzuki,6,47000.0,Automatic,first,hybrid
Hyundai,5,80000.0,Automatic,first,hybrid
Maruti Suzuki,8,34000.0,Automatic,first,petrol
Maruti Suzuki,4,42586.0,Manual,first,hybrid
Honda,15,130000.0,Manual,second,petrol
Maruti Suzuki,7,72000.0,Manual,first,hybrid
BMW,9,78000.0,Automatic,second,diesel
Audi,2,20000.0,Automatic,first,petrol
Tata,14,50000.0,Manual,second,petrol
Mahindra,4,65000.0,Automatic,first,petrol
Tata,6,43000.0,Automatic,first,hybrid/cng
MG,1,35000.0,Automatic,first,petrol
Honda,9,86529.0,Manual,first,diesel
Honda,8,62.0,Automatic,first,petrol
Volkswagen,8,86000.0,Automatic,second,diesel
Maruti Suzuki,14,92000.0,Manual,first,diesel
Maruti Suzuki,14,63000.0,Manual,first,petrol
Maruti Suzuki,6,45000.0,Manual,first,hybrid/cng
Audi,2,26207.0,Automatic,first,petrol
Maruti Suzuki,14,87000.0,Manual,first,petrol
Maruti Suzuki,15,71000.0,Manual,second,petrol
Hyundai,8,72300.0,Manual,first,diesel
Maruti Suzuki,8,55000.0,Automatic,first,petrol
Toyota,3,48000.0,Automatic,second,diesel
Maruti Suzuki,13,75000.0,Automatic,second,hybrid
Hyundai,13,132000.0,Automatic,second,petrol
Maruti Suzuki,7,56000.0,Manual,second,diesel
Maruti Suzuki,17,135000.0,Manual,second,diesel
Honda,11,76000.0,Manual,second,petrol
Maruti Suzuki,2,69000.0,Manual,first,petrol
Honda,7,59000.0,Automatic,second,petrol
Hyundai,2,32000.0,Manual,first,petrol
Skoda,12,78000.0,Manual,second,diesel
Maruti Suzuki,4,55000.0,Manual,first,hybrid/cng
Maruti Suzuki,6,103000.0,Manual,first,hybrid
Maruti Suzuki,4,32000.0,Automatic,first,petrol
Maruti Suzuki,9,100000.0,Manual,second,hybrid/cng
Maruti Suzuki,13,69000.0,Manual,first,petrol
Honda,10,90000.0,Manual,second,diesel
Mercedes-Benz,9,73000.0,Automatic,first,diesel
Maruti Suzuki,6,105000.0,Automatic,second,hybrid/cng
Hyundai,15,104000.0,Automatic,second,hybrid
Honda,14,69500.0,Automatic,second,hybrid
Hyundai,7,49000.0,Manual,first,hybrid/cng
Maruti Suzuki,5,98000.0,Automatic,first,petrol
BMW,11,68000.0,Automatic,second,diesel
Skoda,6,70000.0,Manual,second,petrol
Ford,9,80000.0,Manual,second,diesel
Maruti Suzuki,8,57250.0,Manual,first,hybrid/cng
Honda,7,52639.0,Automatic,first,petrol
Kia,2,30000.0,Automatic,first,petrol
Hyundai,13,130000.0,Automatic,first,hybrid/cng
Maruti Suzuki,7,55000.0,Automatic,second,hybrid
Hyundai,1,16856.0,Manual,first,hybrid
Maruti Suzuki,5,73000.0,Manual,first,diesel
Maruti Suzuki,6,64000.0,Automatic,first,petrol
Maruti Suzuki,5,71000.0,Manual,second,diesel
Hyundai,7,86000.0,Automatic,second,hybrid/cng
Maruti Suzuki,4,45000.0,Manual,first,petrol
Toyota,8,145000.0,Automatic,first,diesel
Honda,7,45000.0,Automatic,second,petrol
Renault,3,4000.0,Manual,first,petrol
Maruti Suzuki,9,66633.0,Manual,second,hybrid
Hyundai,19,120000.0,Manual,second,petrol
Honda,5,21800.0,Automatic,second,petrol
Maruti Suzuki,8,77500.0,Automatic,second,hybrid/cng
Ford,9,125000.0,Manual,first,petrol
Mahindra,11,55000.0,Automatic,second,diesel
Mercedes-Benz,6,85000.0,Automatic,first,diesel
Hyundai,4,55412.0,Automatic,first,petrol
Mini,7,300000.0,Automatic,second,petrol
Maruti Suzuki,8,88000.0,Manual,second,diesel
Honda,17,125000.0,Automatic,second,hybrid
Hyundai,8,37200.0,Manual,second,petrol
Honda,10,61000.0,Automatic,first,petrol
Fiat,9,79000.0,Manual,second,diesel
Honda,13,58000.0,Manual,second,hybrid
Maruti Suzuki,8,80000.0,Manual,second,diesel
Mahindra,8,99000.0,Manual,first,diesel
Mahindra,25,78000.0,Manual,second,diesel
BMW,10,99000.0,Automatic,second,diesel
Maruti Suzuki,11,39000.0,Manual,second,hybrid
Maruti Suzuki,3,90000.0,Automatic,first,hybrid/cng
Audi,5,59000.0,Automatic,second,diesel
Mahindra,10,110000.0,Manual,second,diesel
Maruti Suzuki,5,62000.0,Manual,first,hybrid/cng
Toyota,13,89000.0,Manual,second,diesel
Maruti Suzuki,9,63123.0,Manual,second,hybrid
Ford,18,80000.0,Manual,second,hybrid/cng
Honda,12,82000.0,Manual,second,hybrid/cng
Maruti Suzuki,9,94200.0,Manual,second,diesel
Honda,7,92000.0,Automatic,second,petrol
Hyundai,3,119267.0,Manual,first,diesel
Lexus,4,32000.0,Automatic,first,hybrid
Mahindra,6,80787.0,Manual,first,diesel
BMW,8,55234.0,Automatic,second,diesel
Maruti Suzuki,6,77738.0,Manual,second,hybrid/cng
Honda,5,40000.0,Automatic,second,petrol
Mahindra,2,3500.0,Manual,first,petrol
Toyota,3,40000.0,Automatic,first,diesel
Maruti Suzuki,8,70000.0,Automatic,first,hybrid
Tata,5,82000.0,Manual,first,diesel
Hyundai,13,115600.0,Manual,second,petrol
Maruti Suzuki,7,84000.0,Manual,second,diesel
Renault,7,78000.0,Automatic,first,petrol
Ford,8,300000.0,Manual,second,petrol
Toyota,1,8500.0,Automatic,first,hybrid/cng
BMW,1,5800.0,Automatic,first,petrol
Maruti Suzuki,9,66000.0,Manual,first,diesel
Maruti Suzuki,7,84500.0,Manual,second,diesel
Maruti Suzuki,3,42000.0,Manual,first,hybrid/cng
Hyundai,15,90000.0,Automatic,second,hybrid
Toyota,9,163000.0,Manual,first,diesel
Maruti Suzuki,2,42000.0,Automatic,first,hybrid
Ford,10,75000.0,Manual,first,diesel
Honda,17,90000.0,Automatic,second,hybrid
Hyundai,14,55600.0,Automatic,second,petrol
Honda,5,44000.0,Manual,first,petrol
Mercedes-Benz,9,45000.0,Automatic,second,diesel
Toyota,12,98000.0,Manual,second,diesel
Maruti Suzuki,14,84000.0,Manual,second,petrol
Hyundai,1,5000.0,Automatic,second,petrol
Maruti Suzuki,14,75000.0,Manual,first,hybrid/cng
Toyota,15,75000.0,Automatic,second,hybrid
Toyota,2,50000.0,Automatic,second,diesel
BMW,8,78000.0,Automatic,first,diesel
Maruti Suzuki,11,56000.0,Manual,second,petrol
Mercedes-Benz,7,32600.0,Automatic,second,petrol
Nissan,9,39000.0,Automatic,first,petrol
Honda,4,49000.0,Automatic,second,petrol
Kia,4,58000.0,Automatic,second,petrol
Hyundai,9,61000.0,Manual,second,petrol
MG,5,300000.0,Automatic,first,petrol
BMW,11,67000.0,Automatic,second,diesel
Maruti Suzuki,16,130000.0,Manual,second,hybrid/cng
Toyota,7,101500.0,Manual,second,petrol
Maruti Suzuki,19,20000.0,Automatic,first,hybrid/cng
Toyota,4,32000.0,Automatic,first,diesel
Mahindra,7,67000.0,Manual,first,diesel
Hyundai,10,68000.0,Manual,second,hybrid/cng
Mercedes-Benz,16,43000.0,Automatic,second,petrol
Renault,2,42000.0,Manual,first,petrol
Honda,7,79000.0,Automatic,second,petrol
Maruti Suzuki,5,42312.0,Manual,first,petrol
Mahindra,5,57500.0,Manual,second,diesel
Maruti Suzuki,2,19623.0,Manual,first,petrol
Maruti Suzuki,6,70150.0,Automatic,second,hybrid/cng
Honda,13,68530.0,Manual,second,hybrid
Maserati,7,21000.0,Automatic,second,petrol
Maruti Suzuki,11,49000.0,Manual,first,petrol
Renault,9,53000.0,Manual,second,hybrid/cng
Maruti Suzuki,12,71000.0,Manual,first,hybrid/cng
Maruti Suzuki,17,115233.0,Automatic,second,hybrid
Hyundai,4,65500.0,Automatic,first,diesel
Kia,4,42000.0,Manual,first,petrol
BMW,6,36000.0,Automatic,second,petrol
Maruti Suzuki,6,156000.0,Manual,first,hybrid
Honda,7,58900.0,Automatic,first,petrol
Ford,7,70300.0,Manual,first,diesel
Maruti Suzuki,4,38000.0,Manual,first,petrol
Mercedes-Benz,2,25000.0,Automatic,first,diesel
Maruti Suzuki,2,25772.0,Manual,first,petrol
Maruti Suzuki,6,39848.0,Manual,first,petrol
Maruti Suzuki,7,50000.0,Automatic,first,hybrid
Renault,8,85000.0,Manual,first,hybrid/cng
Maruti Suzuki,13,73422.0,Manual,second,hybrid/cng
Maruti Suzuki,10,200000.0,Automatic,first,hybrid/cng
Ford,7,75000.0,Automatic,second,diesel
Maruti Suzuki,13,113000.0,Manual,second,diesel
Toyota,1,11000.0,Automatic,first,hybrid
Toyota,7,133000.0,Automatic,second,diesel
Hyundai,3,67000.0,Automatic,first,hybrid
Maruti Suzuki,15,25.0,Automatic,second,hybrid
Hyundai,10,300000.0,Automatic,first,petrol
Audi,9,72000.0,Automatic,second,diesel
Honda,12,72000.0,Manual,second,hybrid/cng
Kia,3,23000.0,Automatic,first,diesel
BMW,11,76064.0,Automatic,second,diesel
Volkswagen,8,75000.0,Automatic,second,petrol
Maruti Suzuki,1,35000.0,Manual,first,hybrid
Honda,14,117000.0,Manual,first,hybrid/cng
Skoda,13,71225.0,Manual,second,petrol
Maruti Suzuki,6,130000.0,Manual,first,petrol
Ford,6,31000.0,Automatic,second,petrol
Maruti Suzuki,6,57125.0,Manual,first,hybrid
Hyundai,4,55000.0,Manual,first,hybrid
Maruti Suzuki,5,125000.0,Manual,first,diesel
Maruti Suzuki,9,30.0,Automatic,second,hybrid
Toyota,16,100000.0,Manual,second,diesel
Hyundai,8,78000.0,Automatic,second,diesel
Maruti Suzuki,12,73000.0,Manual,second,hybrid
Tata,5,32000.0,Automatic,first,petrol
Maruti Suzuki,7,76483.0,Manual,second,petrol
MG,1,8900.0,Automatic,first,petrol
Honda,9,57000.0,Manual,first,petrol
Kia,3,65000.0,Automatic,first,diesel
Kia,3,35000.0,Automatic,first,hybrid
Volkswagen,13,107000.0,Manual,second,diesel
Renault,11,86000.0,Manual,second,diesel
Maruti Suzuki,8,55000.0,Automatic,second,hybrid
Kia,1,39000.0,Manual,first,petrol
Maruti Suzuki,7,58000.0,Manual,first,diesel
Mahindra,9,140000.0,Manual,second,diesel
Maruti Suzuki,14,123865.0,Manual,second,diesel
Hyundai,4,28000.0,Manual,first,petrol
Maruti Suzuki,14,193000.0,Automatic,second,diesel
Honda,17,141000.0,Automatic,second,petrol
Mahindra,0,14000.0,Manual,first,petrol
Tata,5,52000.0,Automatic,first,hybrid
Maruti Suzuki,7,45000.0,Manual,first,petrol
Maruti Suzuki,11,92000.0,Automatic,second,hybrid
Maruti Suzuki,1,85000.0,Automatic,first,hybrid/cng
Maruti Suzuki,5,113245.0,Automatic,first,hybrid
BMW,1,40000.0,Automatic,first,diesel
Ford,8,56000.0,Manual,first,diesel
Maruti Suzuki,3,53499.0,Manual,first,petrol
Maruti Suzuki,2,38456.0,Manual,first,hybrid
Maruti Suzuki,7,63000.0,Manual,first,petrol
Ford,7,30000.0,Automatic,second,petrol
Hyundai,13,71000.0,Manual,second,hybrid/cng
Volkswagen,11,61000.0,Manual,first,petrol
Maruti Suzuki,1,6100.0,Automatic,second,hybrid/cng
Tata,8,95000.0,Automatic,second,hybrid
Maruti Suzuki,9,69000.0,Automatic,second,hybrid
Maruti Suzuki,12,98000.0,Manual,first,hybrid/cng
Honda,5,55000.0,Manual,first,hybrid/cng
Maruti Suzuki,7,100000.0,Automatic,second,hybrid
Ford,10,70000.0,Manual,second,diesel
Maruti Suzuki,6,40200.0,Manual,second,petrol
Skoda,12,70000.0,Manual,second,diesel
Renault,11,80000.0,Manual,second,diesel
Maruti Suzuki,6,44000.0,Manual,first,petrol
Hyundai,8,72000.0,Automatic,second,hybrid
Hyundai,9,86090.0,Manual,second,hybrid/cng
Maruti Suzuki,1,6000.0,Manual,first,hybrid
Mercedes-Benz,8,98000.0,Automatic,second,diesel
Skoda,19,173500.0,Manual,first,diesel
Honda,12,59600.0,Manual,second,petrol
Skoda,8,80000.0,Automatic,first,diesel
Maruti Suzuki,5,61231.0,Automatic,first,petrol
BMW,8,75000.0,Automatic,second,diesel
Land Rover,12,23100.0,Automatic,second,diesel
Tata,7,75000.0,Manual,first,diesel
Mercedes-Benz,7,86000.0,Automatic,second,diesel
Toyota,6,80000.0,Automatic,second,hybrid/cng
Maruti Suzuki,12,67000.0,Manual,second,diesel
Hyundai,13,74749.0,Manual,first,petrol
Nissan,11,50000.0,Manual,second,petrol
Hyundai,12,78000.0,Manual,second,hybrid/cng
BMW,4,300000.0,Automatic,first,diesel
Honda,8,68000.0,Automatic,second,petrol
Ford,11,92000.0,Manual,second,diesel
Tata,1,30000.0,Manual,first,hybrid/cng
Maruti Suzuki,7,75000.0,Manual,second,hybrid
Maruti Suzuki,18,110000.0,Manual,second,hybrid/cng
Hyundai,9,110450.0,Manual,second,petrol
Honda,21,140000.0,Automatic,second,petrol
Datsun,5,25902.0,Manual,second,petrol
Maruti Suzuki,7,300000.0,Manual,second,hybrid
MG,1,25000.0,Automatic,first,petrol
Maruti Suzuki,4,60000.0,Manual,first,hybrid
Maruti Suzuki,9,123000.0,Manual,second,petrol
Audi,12,82449.0,Automatic,second,petrol
Maruti Suzuki,17,22.0,Manual,second,petrol
Maruti Suzuki,6,44574.0,Automatic,first,petrol
Toyota,13,52000.0,Manual,second,petrol
Maruti Suzuki,1,48000.0,Manual,second,hybrid
Maruti Suzuki,5,17405.0,Manual,first,petrol
Hyundai,10,86000.0,Manual,second,diesel
Volkswagen,7,99000.0,Manual,first,diesel
Mercedes-Benz,7,75000.0,Automatic,second,diesel
Hyundai,13,108000.0,Manual,second,petrol
Hyundai,5,49000.0,Automatic,first,petrol
Honda,20,120000.0,Automatic,second,petrol
Tata,8,50000.0,Automatic,second,hybrid/cng
Ford,12,116574.0,Automatic,second,diesel
Toyota,5,88000.0,Automatic,first,diesel
Maruti Suzuki,11,69000.0,Automatic,second,petrol
Maruti Suzuki,12,100000.0,Manual,second,hybrid
Hyundai,15,20000.0,Automatic,second,hybrid
Hyundai,12,102000.0,Manual,second,petrol
Mercedes-Benz,10,300000.0,Automatic,second,diesel
Maruti Suzuki,8,56000.0,Automatic,first,petrol
Volkswagen,11,51000.0,Automatic,second,petrol
Toyota,4,105000.0,Automatic,second,diesel
Tata,0,2150.0,Automatic,first,petrol
Audi,13,49000.0,Automatic,second,petrol
Tata,3,31000.0,Manual,second,hybrid/cng
Volvo,13,105000.0,Automatic,second,diesel
Hyundai,7,38000.0,Manual,second,petrol
Maruti Suzuki,7,62000.0,Automatic,first,petrol
Mahindra,9,16.0,Manual,first,diesel
Maruti Suzuki,5,84000.0,Automatic,second,diesel
Ford,12,108000.0,Manual,second,diesel
Mahindra,5,65000.0,Manual,second,diesel
Toyota,15,92000.0,Automatic,second,hybrid/cng
Honda,20,125000.0,Automatic,second,hybrid
Toyota,9,155000.0,Automatic,second,diesel
Hyundai,8,68500.0,Manual,second,petrol
Maruti Suzuki,12,67000.0,Manual,second,hybrid/cng
Tata,1,21342.0,Automatic,first,diesel
Maruti Suzuki,2,75000.0,Automatic,first,hybrid
Ford,9,100000.0,Automatic,first,petrol
Volkswagen,12,68900.0,Automatic,second,diesel
Porsche,13,56000.0,Automatic,second,diesel
Mahindra,9,58000.0,Manual,first,diesel
Jeep,7,51600.0,Manual,first,diesel
Volkswagen,11,61000.0,Automatic,first,petrol
Maruti Suzuki,11,98000.0,Manual,first,diesel
Tata,7,34000.0,Automatic,second,petrol
Honda,7,70000.0,Manual,second,petrol
Hyundai,10,82000.0,Automatic,second,petrol
Tata,2,12000.0,Automatic,first,petrol
Maruti Suzuki,2,11102.0,Manual,first,petrol
Maruti Suzuki,8,115000.0,Automatic,second,hybrid
BMW,3,200000.0,Automatic,first,petrol
Toyota,9,40000.0,Automatic,second,diesel
Maruti Suzuki,13,140000.0,Manual,second,petrol
Volkswagen,8,118000.0,Automatic,first,diesel
Volkswagen,10,72900.0,Automatic,second,diesel
Mercedes-Benz,9,35000.0,Automatic,second,petrol
Maruti Suzuki,8,65000.0,Automatic,second,hybrid
Honda,8,56000.0,Automatic,second,petrol
Mercedes-Benz,8,66000.0,Automatic,second,diesel
Ford,11,82008.0,Manual,second,diesel
Toyota,8,160000.0,Manual,first,diesel
Hyundai,14,92000.0,Manual,second,diesel
Land Rover,6,75000.0,Automatic,second,diesel
Toyota,15,75000.0,Manual,second,hybrid
Land Rover,6,73182.0,Automatic,first,diesel
Maruti Suzuki,7,60000.0,Manual,second,hybrid/cng
Toyota,11,130000.0,Manual,second,diesel
Maruti Suzuki,8,58000.0,Manual,first,hybrid
Hyundai,10,70001.0,Manual,first,hybrid
Maruti Suzuki,10,26000.0,Automatic,first,petrol
Chevrolet,8,65000.0,Automatic,second,diesel
Hyundai,1,15000.0,Automatic,first,petrol
Toyota,7,119500.0,Automatic,second,petrol
Hyundai,4,64259.0,Manual,second,hybrid/cng
Mercedes-Benz,10,73000.0,Automatic,second,diesel
Toyota,16,52000.0,Automatic,second,petrol
Land Rover,2,28400.0,Automatic,first,petrol
Renault,7,27000.0,Automatic,second,petrol
Maruti Suzuki,2,90000.0,Automatic,first,hybrid/cng
Toyota,12,70000.0,Manual,first,diesel
Maruti Suzuki,13,84750.0,Manual,second,hybrid/cng
BMW,4,29600.0,Automatic,first,petrol
Mercedes-Benz,8,84067.0,Automatic,first,diesel
Maruti Suzuki,8,67500.0,Manual,second,hybrid
Maruti Suzuki,3,28000.0,Manual,first,hybrid/cng
Hyundai,14,300000.0,Manual,second,hybrid
Maruti Suzuki,6,300000.0,Automatic,first,hybrid
Hyundai,10,65800.0,Manual,second,petrol
Hyundai,6,28000.0,Automatic,second,petrol
Tata,15,155888.0,Manual,second,diesel
Maruti Suzuki,2,35000.0,Manual,second,hybrid
Maruti Suzuki,7,72300.0,Manual,first,hybrid/cng
Maruti Suzuki,8,46263.0,Automatic,second,petrol
Honda,11,81000.0,Automatic,first,hybrid/cng
Honda,10,62405.0,Manual,first,petrol
Mercedes-Benz,0,16000.0,Automatic,first,petrol
Honda,4,300000.0,Automatic,first,petrol
Toyota,12,86000.0,Manual,first,diesel
Maruti Suzuki,6,24568.0,Automatic,first,hybrid
Hyundai,1,26000.0,Manual,first,petrol
Hyundai,2,3000.0,Manual,first,petrol
Hyundai,9,72000.0,Manual,second,petrol
Honda,17,10645.0,Manual,second,petrol
